repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
1,0.8548,0.8932,0.3617,0.1993,0.9473,0.8932,0.9194,0.6981,0.9638
2,0.8156,0.8398,0.5043,0.2294,0.9561,0.8398,0.8942,0.7467,0.9708
0,0.8428,0.8751,0.4277,0.2215,0.9515,0.8751,0.9117,0.7257,0.9665
