repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.7274,0.8987,0.4148,0.3666,0.737,0.8987,0.8098,0.8001,0.8822
2,0.7318,0.8268,0.5584,0.3984,0.7736,0.8268,0.7993,0.7961,0.8819
1,0.7107,0.7984,0.5508,0.3565,0.7643,0.7984,0.781,0.7763,0.8701
