repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.7725,0.8318,0.572,0.3862,0.8679,0.8318,0.8495,0.7895,0.9197
2,0.7901,0.882,0.4795,0.379,0.8514,0.882,0.8664,0.7917,0.9207
1,0.7925,0.8685,0.5358,0.4071,0.8635,0.8685,0.866,0.7945,0.918
