repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.582,0.9722,0.0737,0.1068,0.5776,0.9722,0.7247,0.5835,0.6086
1,0.5896,0.9565,0.1116,0.1297,0.5838,0.9565,0.7251,0.5714,0.6011
2,0.5985,0.9337,0.1618,0.1526,0.592,0.9337,0.7246,0.5903,0.6028
