repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.8495,0.8835,0.454,0.2602,0.9495,0.8835,0.9153,0.7799,0.974
1,0.8804,0.9348,0.248,0.1823,0.9353,0.9348,0.935,0.7328,0.9672
2,0.804,0.8291,0.512,0.2312,0.9518,0.8291,0.8862,0.7405,0.9658
