repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
1,0.797,0.8141,0.5766,0.2466,0.9611,0.8141,0.8815,0.7555,0.9735
2,0.7789,0.7893,0.6447,0.2623,0.9661,0.7893,0.8688,0.7376,0.964
0,0.8432,0.8817,0.3489,0.1748,0.9456,0.8817,0.9126,0.7117,0.9641
