repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.8251,0.8599,0.42,0.2051,0.9451,0.8599,0.9005,0.7381,0.9668
1,0.8751,0.9277,0.264,0.1833,0.9361,0.9277,0.9319,0.7258,0.9669
2,0.8024,0.8305,0.476,0.2094,0.9485,0.8305,0.8856,0.7064,0.9568
