repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.8027,0.8293,0.4882,0.2145,0.9505,0.8293,0.8857,0.7554,0.9724
1,0.7421,0.7403,0.7638,0.2951,0.9738,0.7403,0.8411,0.8122,0.9777
2,0.7303,0.728,0.7579,0.2816,0.9727,0.728,0.8327,0.8059,0.9787
