repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.7856,0.804,0.5489,0.2201,0.9582,0.804,0.8744,0.7267,0.9653
1,0.7971,0.8234,0.4596,0.1842,0.9514,0.8234,0.8828,0.7037,0.9626
2,0.8562,0.8973,0.3277,0.1799,0.9449,0.8973,0.9205,0.6549,0.9495
