repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
1,0.7144,0.8507,0.5369,0.4127,0.7053,0.8507,0.7712,0.7901,0.829
0,0.7231,0.8445,0.565,0.4306,0.7167,0.8445,0.7754,0.7949,0.8323
2,0.7123,0.8195,0.5727,0.4073,0.7142,0.8195,0.7632,0.7876,0.8299
