repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.7511,0.8121,0.5831,0.3838,0.8429,0.8121,0.8272,0.7835,0.9006
2,0.7555,0.8155,0.5903,0.3943,0.8457,0.8155,0.8303,0.7822,0.9002
1,0.753,0.8408,0.5111,0.3579,0.8257,0.8408,0.8332,0.7706,0.8912
