repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.5775,0.9807,0.0523,0.0907,0.5741,0.9807,0.7243,0.5684,0.5908
2,0.5947,0.9319,0.1554,0.1405,0.5897,0.9319,0.7223,0.5759,0.5929
1,0.5812,0.9807,0.0606,0.1082,0.5763,0.9807,0.726,0.5918,0.6095
