repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.7141,0.8486,0.539,0.4119,0.7057,0.8486,0.7706,0.7917,0.8352
1,0.7204,0.8407,0.5636,0.4246,0.7151,0.8407,0.7729,0.7946,0.835
2,0.7292,0.7957,0.6426,0.4445,0.7436,0.7957,0.7688,0.7963,0.8347
