repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.6737,0.8664,0.462,0.3614,0.639,0.8664,0.7355,0.764,0.7826
1,0.6782,0.8595,0.479,0.3683,0.6445,0.8595,0.7366,0.7667,0.7809
2,0.682,0.83,0.5192,0.3692,0.6549,0.83,0.7321,0.7633,0.7825
