repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
2,0.7782,0.8324,0.595,0.4065,0.8742,0.8324,0.8528,0.7888,0.9141
1,0.7907,0.8704,0.5212,0.3975,0.8601,0.8704,0.8652,0.8,0.9248
0,0.7796,0.8392,0.5779,0.4012,0.8705,0.8392,0.8546,0.7851,0.9108
