repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
1,0.6628,0.9039,0.3978,0.3529,0.6226,0.9039,0.7373,0.7673,0.7858
2,0.6629,0.8678,0.4378,0.3407,0.6291,0.8678,0.7294,0.7605,0.78
3,0.6693,0.8658,0.4532,0.3526,0.6351,0.8658,0.7327,0.7617,0.7794
