repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.7227,0.8305,0.5822,0.4292,0.7214,0.8305,0.7721,0.7925,0.8314
1,0.7227,0.8327,0.5794,0.4292,0.7206,0.8327,0.7726,0.7914,0.8287
2,0.7141,0.8483,0.5393,0.4119,0.7058,0.8483,0.7705,0.7901,0.8296
