repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.6831,0.8419,0.5086,0.3737,0.6531,0.8419,0.7356,0.7636,0.7816
2,0.6913,0.816,0.5543,0.3852,0.668,0.816,0.7346,0.768,0.7846
1,0.6704,0.884,0.4357,0.3604,0.6326,0.884,0.7374,0.7687,0.7875
