repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.7189,0.8329,0.5702,0.4212,0.7163,0.8329,0.7702,0.7913,0.8343
1,0.7237,0.8257,0.5909,0.4315,0.7245,0.8257,0.7718,0.7928,0.8342
2,0.7219,0.824,0.5888,0.4276,0.7231,0.824,0.7703,0.7933,0.8281
