repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.7984,0.9322,0.1754,0.1459,0.8403,0.9322,0.8839,0.6828,0.9017
2,0.7827,0.9064,0.2069,0.1363,0.8417,0.9064,0.8729,0.6666,0.8985
1,0.7794,0.897,0.2325,0.1489,0.8447,0.897,0.87,0.6753,0.9033
