repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.5688,0.9972,0.0107,0.0496,0.5677,0.9972,0.7235,0.5863,0.6091
1,0.5895,0.9483,0.1219,0.1268,0.5846,0.9483,0.7233,0.5717,0.5925
2,0.5927,0.9398,0.1404,0.1356,0.5875,0.9398,0.723,0.6028,0.613
