repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
0,0.5836,0.9545,0.1005,0.1073,0.5803,0.9545,0.7218,0.5808,0.6074
1,0.588,0.9617,0.1012,0.1258,0.5823,0.9617,0.7254,0.5742,0.595
2,0.594,0.9357,0.1487,0.139,0.5888,0.9357,0.7228,0.5999,0.6111
