repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
1,0.8054,0.8331,0.484,0.2174,0.9494,0.8331,0.8874,0.7258,0.9631
2,0.7658,0.7802,0.598,0.236,0.9576,0.7802,0.8599,0.7522,0.9673
0,0.8537,0.8911,0.42,0.247,0.947,0.8911,0.9182,0.7239,0.9605
