repeat,acc,sensitivity,specificity,mcc,precision,recall,f1,auc,aupr
2,0.8891,0.9663,0.252,0.2916,0.9143,0.9663,0.9396,0.7381,0.9567
1,0.7511,0.7597,0.6798,0.3013,0.9514,0.7597,0.8448,0.8009,0.9696
0,0.837,0.8887,0.4094,0.2641,0.9255,0.8887,0.9068,0.7501,0.9599
